;price;odometer
1849;18598;35314
1850;21998;27549
1851;19598;37589
1852;14998;5
1853;8998;72304
1854;22990;88000
1855;13998;94770
1856;14998;5
1857;16998;47081
1858;31598;10530
1859;19998;88901
1860;20998;52822
1861;21998;27549
1862;31598;29958
1863;39998;60283
1864;30998;16556
1865;15998;83736
1866;7998;62445
1867;24998;34900
1869;18998;79284
1870;12998;96035
1871;10998;84894
1872;20998;83313
1873;13998;24849
1874;16998;74097
1875;6998;101669
1876;8998;128188
1877;7998;117369
1878;12998;57078
1879;23998;48400
1880;16598;28024
1881;13998;24365
1883;32998;18562
1884;12998;100929
1885;13998;24870
1886;17998;96998
1887;17998;31557
1888;8700;43400
1889;14998;130630
1890;5900;199635
1891;23995;97000
1893;19300;88088
1895;7995;121994
1896;17000;49500
1908;9900;93000
1911;4000;149000
1912;9200;115000
1913;6500;151713
1914;22900;70000
1915;19500;94260
1916;6900;101920
1917;3800;160500
1918;55990;34753
1919;4995;68500
1920;12900;124000
1921;3700;191000
1922;39990;38252
1923;12500;119979
1924;42990;81313
1925;6596;91832
1926;8596;90439
1927;6596;129636
1928;9396;119635
1929;6596;96078
1930;5996;74196
1931;4596;124946
1932;6996;124565
1933;5996;147351
1934;18000;58500
1935;9995;194977
1936;2000;176185
1940;5300;178400
1941;5995;50612
1942;12995;133099
1943;6995;62280
1944;6995;77347
1945;2999;155000
1946;7995;136434
1947;5495;157383
1948;9995;123913
1949;13495;35417
1950;13995;149897
1951;6995;98386
1952;5995;134865
1953;5995;38638
1954;18995;47596
1955;8995;120685
1956;9995;55759
1957;14995;64492
1958;11995;58605
1959;12995;78171
1960;8995;81008
1961;8995;65041
1962;18995;73230
1963;11995;63981
1964;10495;104548
1967;19995;119000
1968;7995;78000
1969;19995;129000
1970;5999;98000
1971;2500;190000
1972;14995;127000
1973;9499;93000
1974;25995;97000
1975;11995;141000
1976;10995;171000
1977;13995;169000
1978;12995;109000
1979;10995;59000
1981;3995;130000
1982;18995;99000
1983;18995;49233
1984;7995;216806
1985;4995;85660
1986;7495;134826
1987;19995;101000
1988;10998;63541
1993;13995;155834
1996;1700;165000
1998;8995;105000
2000;3000;108000
2001;5000;185000
2002;5900;206000
2004;0;59818
2005;23990;29942
2006;16550;54100
2007;20500;110000
2008;13498;117675
2013;26990;124611
2014;15990;218072
2015;11995;110399
2017;14000;180000
2019;0;23767
2020;5000;173000
2022;10500;85000
2023;13995;104355
2024;4995;173329
2025;7995;106757
2026;11995;66164
2028;13995;204229
2029;11995;146216
2030;3995;179642
2031;14995;19224
2032;4995;116952
2033;22995;63778
2034;9500;77600
2036;8900;127000
2037;29888;108098
2038;11555;53976
2039;29555;91052
2040;18990;113477
2041;37888;116603
2042;27888;107593
2043;34555;126346
2044;9995;121754
2045;9998;112675
2046;38888;143324
2047;24555;98981
2048;25988;131152
2049;29555;98223
2051;33888;116915
2052;21444;113566
2053;16888;168763
2054;21777;97054
2055;3999;153900
2056;37888;82104
2057;28888;93140
2058;9000;118967
2059;6900;148000
2060;34990;73549
2061;28990;87880
