,price,year,condition,odometer,title_status,transmission,type,split
949,23995,2016,excellent,52200.0,clean,automatic,truck,1.6545074664331079
950,6995,2008,excellent,123203.0,clean,automatic,SUV,-0.12858430201111323
951,21495,2017,excellent,23000.0,rebuilt,automatic,wagon,0.5140798684461686
952,23495,2018,like new,13000.0,rebuilt,automatic,wagon,-1.2473337333603662
953,15495,2016,excellent,30275.0,rebuilt,automatic,sedan,2.814827937449734
954,22760,2014,good,74785.0,clean,automatic,truck,-0.20787402552572706
976,4400,2002,fair,82000.0,clean,automatic,truck,0.36149619084529216
977,1500,1996,fair,98225.0,clean,automatic,SUV,0.7390128762226147
983,1500,1995,fair,116230.0,clean,automatic,wagon,0.6055698066952683
987,14995,2010,excellent,141000.0,clean,automatic,SUV,0.13835824456152876
995,14995,2013,excellent,111000.0,clean,automatic,SUV,0.720913549863789
996,37995,2015,excellent,57000.0,clean,automatic,sedan,0.785835617440624
997,23995,2018,like new,14000.0,clean,automatic,van,-1.2690646577439735
998,39995,2015,excellent,41000.0,clean,automatic,sedan,-0.19774413420626843
999,34995,2015,excellent,39000.0,clean,automatic,coupe,0.8767487220075995
1000,21995,2014,excellent,125000.0,clean,automatic,pickup,0.42295977471309304
1001,10995,2011,excellent,71000.0,clean,automatic,coupe,-0.5191111333246684
1002,10995,2007,excellent,177000.0,clean,automatic,pickup,-0.35811524761905333
1003,4596,2010,good,124946.0,clean,automatic,sedan,1.24817011751416
1004,9596,2015,good,97129.0,clean,other,sedan,-0.8901482614214569
1005,11996,2012,good,91896.0,clean,automatic,wagon,0.7596131835180355
1006,4996,2006,good,157015.0,clean,other,wagon,-0.4786929871861165
1007,9396,2013,good,119635.0,clean,automatic,wagon,-0.6931455836196386
1009,8996,2009,good,116671.0,clean,other,wagon,-0.7055893116618672
1017,9995,2002,excellent,111000.0,clean,automatic,convertible,1.3798134271935014
1018,7995,2012,excellent,97000.0,clean,automatic,SUV,-0.47153734280936965
1019,15995,2011,excellent,135000.0,clean,automatic,truck,-0.597309216332547
1020,8995,2010,excellent,83000.0,clean,automatic,sedan,-1.8444486856799585
1021,13995,2011,excellent,103000.0,clean,automatic,SUV,0.4492929648642493
1025,6995,2006,excellent,165000.0,clean,automatic,SUV,-0.1991917363859344
1027,17995,2009,excellent,84000.0,clean,automatic,pickup,0.044700745554762895
1028,1700,2006,good,113000.0,clean,automatic,wagon,-0.33966439280897215
1029,13800,2016,like new,101098.0,clean,automatic,SUV,-0.7532151136943598
1030,17990,2009,good,76334.0,clean,automatic,truck,1.3406001150844193
1032,12990,1998,good,26375.0,clean,automatic,truck,1.6668704385436448
1034,21990,2014,good,121437.0,clean,automatic,truck,-0.03607148318014197
1035,13990,2000,good,114702.0,clean,manual,truck,-0.7812048413941901
1036,16990,2013,good,174100.0,clean,automatic,truck,0.6213455806050511
1043,26990,2006,good,58106.0,clean,automatic,truck,1.1762871525900924
1044,12990,1999,good,30728.0,clean,automatic,truck,-0.6298850363899003
1045,19990,2006,good,33285.0,clean,automatic,truck,-1.292137108775311
1047,15990,2013,good,69357.0,clean,automatic,truck,2.0247546995283003
1050,24990,2016,good,113440.0,clean,automatic,truck,-0.2331609251272816
1051,15490,2011,good,102532.0,clean,automatic,truck,0.5748530764938447
1052,10490,2009,good,103523.0,clean,automatic,van,-2.096958211991465
1057,15990,2005,good,66697.0,clean,automatic,truck,-0.271077818921671
1058,8990,2006,good,105429.0,clean,automatic,van,0.18446394245137243
1061,17990,2016,good,122637.0,clean,automatic,truck,0.9262824978301547
1062,21990,2013,good,99748.0,clean,automatic,truck,0.38866546329982116
1063,23990,2015,good,118710.0,clean,automatic,truck,0.14597118251365782
1064,17990,2015,good,113346.0,clean,automatic,truck,-0.8692928099428506
1065,17990,2016,good,122974.0,clean,automatic,truck,0.6183568639015881
1066,29990,2011,good,17037.0,clean,automatic,bus,-0.22246602457745746
1068,18990,2015,good,103335.0,clean,automatic,truck,-0.03573506546418636
1073,15990,2012,good,113419.0,clean,automatic,truck,0.8570061146271519
1075,29490,2014,good,29507.0,clean,automatic,truck,0.5969146625593048
1079,16990,2008,good,28462.0,clean,automatic,truck,0.15946053309909095
1081,24990,2015,good,102354.0,clean,automatic,truck,0.8319807674474823
1082,14990,2014,good,76638.0,clean,automatic,SUV,0.5848783654363804
1095,5250,2010,good,163000.0,clean,manual,SUV,-0.20778075231956197
1107,15995,2014,excellent,94217.0,clean,automatic,wagon,-1.0575957221648047
1108,14995,2014,excellent,125528.0,clean,automatic,SUV,0.47615197074335525
1110,4800,2006,good,143000.0,clean,manual,wagon,0.29861135620233126
1112,4695,2006,excellent,94000.0,clean,automatic,sedan,0.015509191982521616
1123,5295,2004,excellent,148000.0,clean,automatic,SUV,-2.620979097209901
1124,3995,2003,excellent,55000.0,clean,automatic,SUV,2.2047821876746125
1125,12900,2014,excellent,68121.0,clean,automatic,wagon,-0.7791610758127777
1129,6900,2008,excellent,107000.0,clean,manual,coupe,-0.30105634351854343
1136,0,1974,fair,0.0,clean,manual,coupe,-0.3011378999588153
1142,6250,2011,excellent,107054.0,clean,automatic,coupe,0.2986489191077182
1185,9000,2006,good,151000.0,clean,automatic,pickup,0.5645143880708478
1186,6995,2006,excellent,141477.0,clean,automatic,SUV,0.8723657703717232
1190,5999,2011,excellent,127000.0,clean,automatic,sedan,0.8320178071430107
1203,10200,2010,good,81500.0,clean,automatic,SUV,0.07699510328702197
1204,2999,2013,excellent,139000.0,clean,automatic,sedan,-0.11978557909672376
1207,9000,2014,excellent,32473.0,clean,automatic,hatchback,-1.1735835593967965
1215,9500,2011,excellent,124000.0,clean,automatic,SUV,1.8262378202346607
1216,2000,2002,good,165609.0,clean,automatic,truck,-0.39415421976681186
1220,5000,2012,good,92300.0,clean,manual,mini-van,-0.6890291034095941
1224,7995,2010,excellent,107934.0,clean,automatic,SUV,-0.7950186129851664
1225,2650,2008,good,94000.0,clean,automatic,sedan,-0.16656837894327134
1227,5800,2005,good,148000.0,clean,automatic,SUV,-0.5101348953583483
1228,7500,2012,excellent,102000.0,clean,automatic,coupe,0.857243646327585
1231,14000,2015,like new,89000.0,clean,automatic,SUV,0.5439147949245611
1232,6750,2014,excellent,89000.0,clean,automatic,mini-van,0.0650587918567088
1233,6650,2009,like new,130000.0,clean,automatic,SUV,-0.63729669716568
1236,1000,2006,fair,214000.0,missing,automatic,sedan,-0.17582687122847646
1237,13800,2012,excellent,65000.0,clean,automatic,truck,1.539098779480184
1241,5750,2009,excellent,142300.0,clean,automatic,sedan,0.8669000941868243
1244,2000,1998,good,227000.0,clean,automatic,wagon,0.22366021119214938
1245,11995,2008,excellent,110399.0,clean,manual,SUV,0.5558359344135932
1249,44900,2017,excellent,40300.0,clean,automatic,truck,0.36793453688604955
1257,7498,2010,good,145750.0,clean,automatic,SUV,0.18960995458334476
1258,4998,2011,good,127775.0,clean,automatic,sedan,0.9812924143076841
1260,4998,2008,good,176857.0,clean,automatic,coupe,1.4963082540180535
1261,7498,2015,good,154852.0,clean,automatic,sedan,0.9886156282456092
1265,2795,2001,good,170979.0,clean,automatic,coupe,0.34705669873998796
1266,8999,2008,excellent,165000.0,clean,automatic,van,-1.4743594780533102
1268,21000,2014,excellent,74000.0,clean,automatic,truck,0.966538314794525
1274,24550,2008,good,61563.0,clean,automatic,truck,0.7282007289053659
1276,8995,2003,good,101210.0,clean,automatic,pickup,-0.18754801376364968
1281,0,2012,good,134345.0,clean,automatic,sedan,0.9376959425088232
1283,7600,2010,good,141000.0,clean,automatic,SUV,-1.0408447325626524
1284,0,2009,good,92026.0,clean,manual,sedan,-0.18739310105871848
1285,0,2008,good,104482.0,clean,automatic,truck,0.053406023984344006
1286,0,2006,good,185919.0,clean,automatic,truck,1.792213580532521
1287,0,2008,good,155447.0,clean,automatic,sedan,-1.2215173833855117
1290,0,2014,good,59384.0,clean,automatic,sedan,-1.299263490140561
1291,31000,2016,excellent,81000.0,clean,automatic,pickup,-0.27904212371800063
1292,0,2011,good,151008.0,clean,other,SUV,0.9127183010212309
1293,0,2002,good,187880.0,clean,automatic,other,-1.0527014393071816
1295,32995,2016,like new,16441.0,clean,automatic,pickup,-0.9357985011834146
1299,7800,2008,excellent,190000.0,clean,automatic,pickup,-0.19591017101306285
1301,1500,2001,fair,63203.0,clean,automatic,van,2.579765691522798
1302,9500,2007,good,128400.0,clean,automatic,truck,-0.012693890326081666
1304,1900,2005,good,151235.0,clean,automatic,SUV,-1.366386529619758
1307,3000,2004,good,172578.0,clean,manual,hatchback,1.1511461458058776
1309,17500,2009,excellent,12899.0,clean,automatic,pickup,-0.598584712117515
1314,16000,2012,good,55350.0,clean,automatic,truck,-0.14594162422423893
1315,36900,2019,like new,6500.0,lien,automatic,truck,0.06287938203313347
1328,7995,2005,excellent,155239.0,clean,automatic,SUV,-0.506988734697982
1334,6495,2015,good,245000.0,clean,automatic,SUV,-1.669950888615174
1335,14995,2016,like new,38002.0,clean,automatic,sedan,-0.13805413913802225
1336,7200,2010,good,79000.0,clean,automatic,hatchback,1.9712444668993052
1337,6495,2014,good,195000.0,clean,automatic,SUV,-0.4996491012599944
1338,11000,2005,like new,145512.0,clean,automatic,SUV,-0.35010232875649316
1339,1850,2004,good,193600.0,clean,automatic,wagon,-0.7202827896826749
1340,23995,2016,excellent,49579.0,clean,automatic,coupe,0.7364264049794426
1343,14995,2016,excellent,35994.0,clean,automatic,sedan,-0.2379393272508709
1345,30995,2016,like new,21037.0,clean,automatic,pickup,0.32223118855275823
1348,23995,2015,excellent,63703.0,clean,automatic,pickup,0.8502578289349189
1350,1000,2001,good,202000.0,clean,automatic,SUV,0.4285052789874468
1366,3500,2011,excellent,145000.0,clean,automatic,sedan,0.2993838668194175
1372,15300,2014,good,100338.0,clean,automatic,SUV,0.38573032448610656
1374,13995,2017,excellent,64743.0,clean,automatic,SUV,-0.6337232663921513
1376,11995,2010,excellent,127524.0,clean,automatic,pickup,0.14314798077072421
1379,20000,2011,excellent,189000.0,clean,automatic,pickup,-0.6055446712302759
1380,14998,2009,excellent,130630.0,clean,automatic,truck,0.8358185027311327
1381,17998,2017,excellent,31557.0,clean,automatic,SUV,0.7624748069612665
1382,7995,2009,excellent,121356.0,clean,automatic,SUV,-0.28781716529867546
1383,17998,2012,excellent,96998.0,clean,automatic,truck,-0.5545289844137277
